,team,name,position,player_url
0,Bayern Munich,Joshua Kimmich,MF,https://fbref.com/en/players/49296448/Joshua-Kimmich
1,Bayern Munich,Kim Min-jae,DF,https://fbref.com/en/players/e0f8151c/Kim-Min-jae
2,Bayern Munich,Harry Kane,FW,https://fbref.com/en/players/21a66f6a/Harry-Kane
3,Bayern Munich,Dayot Upamecano,DF,https://fbref.com/en/players/d248cd8f/Dayot-Upamecano
4,Bayern Munich,Manuel Neuer,GK,https://fbref.com/en/players/8778c910/Manuel-Neuer
5,Bayern Munich,Alphonso Davies,DF,https://fbref.com/en/players/d781d855/Alphonso-Davies
6,Bayern Munich,Michael Olise,FW,https://fbref.com/en/players/c4486bac/Michael-Olise
7,Bayern Munich,Jamal Musiala,MF,https://fbref.com/en/players/2c0558b8/Jamal-Musiala
8,Bayern Munich,Raphaël Guerreiro,DF,https://fbref.com/en/players/048a1cbc/Raphael-Guerreiro
9,Bayern Munich,Aleksandar Pavlovic,MF,https://fbref.com/en/players/2658c82f/Aleksandar-Pavlovic
10,Bayern Munich,Leroy Sané,FW,https://fbref.com/en/players/2b114be3/Leroy-Sane
11,Bayern Munich,Kingsley Coman,FW,https://fbref.com/en/players/042e8a49/Kingsley-Coman
12,Bayern Munich,Konrad Laimer,DF,https://fbref.com/en/players/c1b7847c/Konrad-Laimer
13,Bayern Munich,Leon Goretzka,MF,https://fbref.com/en/players/cc86b9a3/Leon-Goretzka
14,Bayern Munich,Serge Gnabry,FW,https://fbref.com/en/players/88e357ef/Serge-Gnabry
15,Bayern Munich,Thomas Müller,MF,https://fbref.com/en/players/3c6089ab/Thomas-Muller
16,Bayern Munich,Eric Dier,DF,https://fbref.com/en/players/ac861941/Eric-Dier
17,Bayern Munich,João Palhinha,MF,https://fbref.com/en/players/a78ff07f/Joao-Palhinha
18,Bayern Munich,Sacha Boey,DF,https://fbref.com/en/players/6c8ddd52/Sacha-Boey
19,Bayern Munich,Daniel Peretz,GK,https://fbref.com/en/players/3f29b3ba/Daniel-Peretz
20,Bayern Munich,Mathys Tel,FW,https://fbref.com/en/players/829aa60c/Mathys-Tel
21,Bayern Munich,Sven Ulreich,GK,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich
22,Bayern Munich,Josip Stanišić,DF,https://fbref.com/en/players/7ed08d5c/Josip-Stanisic
23,Bayern Munich,Adam Aznou,DF,https://fbref.com/en/players/e678d983/Adam-Aznou
24,Bayern Munich,Arijon Ibrahimović,FW,https://fbref.com/en/players/f5c4fd91/Arijon-Ibrahimovic
25,Bayern Munich,Jonah Kusi-Asare,FW,https://fbref.com/en/players/c7c26e61/Jonah-Kusi-Asare
26,Bayern Munich,Noel Nkili,MF,https://fbref.com/en/players/445dff99/Noel-Nkili
27,Bayern Munich,Anthony Pavlesic,GK,https://fbref.com/en/players/220c0445/Anthony-Pavlesic
28,Bayern Munich,Max Schmitt,GK,https://fbref.com/en/players/99a19e12/Max-Schmitt
29,Bayern Munich,Jonas Urbig,GK,https://fbref.com/en/players/925bbcdc/Jonas-Urbig
30,Paris S-G,Bradley Barcola,FW,https://fbref.com/en/players/a0d55a09/Bradley-Barcola
31,Paris S-G,Achraf Hakimi,DF,https://fbref.com/en/players/e42d61c7/Achraf-Hakimi
32,Paris S-G,Gianluigi Donnarumma,GK,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma
33,Paris S-G,Willian Pacho,DF,https://fbref.com/en/players/ecbe2839/Willian-Pacho
34,Paris S-G,Warren Zaïre-Emery,MF,https://fbref.com/en/players/6b9960cf/Warren-Zaire-Emery
35,Paris S-G,Vitinha,MF,https://fbref.com/en/players/3b029691/Vitinha
36,Paris S-G,Lee Kang-in,FW,https://fbref.com/en/players/8455ad90/Lee-Kang-in
37,Paris S-G,João Neves,MF,https://fbref.com/en/players/c2a15a27/Joao-Neves
38,Paris S-G,Ousmane Dembélé,FW,https://fbref.com/en/players/b19db005/Ousmane-Dembele
39,Paris S-G,Fabián Ruiz Peña,MF,https://fbref.com/en/players/c0c7ff58/Fabian-Ruiz-Pena
40,Paris S-G,Marquinhos,DF,https://fbref.com/en/players/d5f2f82b/Marquinhos
41,Paris S-G,Lucas Beraldo,DF,https://fbref.com/en/players/b8aedf06/Lucas-Beraldo
42,Paris S-G,Nuno Mendes,DF,https://fbref.com/en/players/f20e4cc9/Nuno-Mendes
43,Paris S-G,Marco Asensio,FW,https://fbref.com/en/players/45af8a54/Marco-Asensio
44,Paris S-G,Désiré Doué,FW,https://fbref.com/en/players/9e7483ff/Desire-Doue
45,Paris S-G,Gonçalo Ramos,FW,https://fbref.com/en/players/f63cda26/Goncalo-Ramos
46,Paris S-G,Matvei Safonov,GK,https://fbref.com/en/players/d97b252e/Matvei-Safonov
47,Paris S-G,Milan Škriniar,DF,https://fbref.com/en/players/30f5ffa9/Milan-Skriniar
48,Paris S-G,Senny Mayulu,MF,https://fbref.com/en/players/bac89b96/Senny-Mayulu
49,Paris S-G,Lucas Hernández,DF,https://fbref.com/en/players/c3ee18ef/Lucas-Hernandez
50,Paris S-G,Randal Kolo Muani,FW,https://fbref.com/en/players/c0b3669f/Randal-Kolo-Muani
51,Paris S-G,Yoram Zague,DF,https://fbref.com/en/players/5ce497e2/Yoram-Zague
52,Paris S-G,Khvicha Kvaratskhelia,FW,https://fbref.com/en/players/dea88efd/Khvicha-Kvaratskhelia
53,Paris S-G,Ibrahim Mbaye,FW,https://fbref.com/en/players/201b4ee4/Ibrahim-Mbaye
54,Paris S-G,Naoufel El Hannach,DF,https://fbref.com/en/players/f9b69340/Naoufel-El-Hannach
55,Paris S-G,Presnel Kimpembe,DF,https://fbref.com/en/players/aef6e670/Presnel-Kimpembe
56,Paris S-G,Carlos Soler,MF,https://fbref.com/en/players/fed17f5a/Carlos-Soler
57,Paris S-G,Axel Tapé,MF,https://fbref.com/en/players/75cde619/Axel-Tape
58,Paris S-G,Arnau Tenas,GK,https://fbref.com/en/players/30670b0e/Arnau-Tenas
59,Paris S-G,Gianluigi Donnarumma,GK,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma
60,Liverpool,Virgil van Dijk,DF,https://fbref.com/en/players/e06683ca/Virgil-van-Dijk
61,Liverpool,Mohamed Salah,FW,https://fbref.com/en/players/e342ad68/Mohamed-Salah
62,Liverpool,Ryan Gravenberch,MF,https://fbref.com/en/players/b8e740fb/Ryan-Gravenberch
63,Liverpool,Trent Alexander-Arnold,DF,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold
64,Liverpool,Andrew Robertson,DF,https://fbref.com/en/players/2e4f5f03/Andrew-Robertson
65,Liverpool,Alexis Mac Allister,MF,https://fbref.com/en/players/83d074ff/Alexis-Mac-Allister
66,Liverpool,Luis Díaz,FW,https://fbref.com/en/players/4a1a9578/Luis-Diaz
67,Liverpool,Dominik Szoboszlai,MF,https://fbref.com/en/players/934e1968/Dominik-Szoboszlai
68,Liverpool,Ibrahima Konaté,DF,https://fbref.com/en/players/5ed9b537/Ibrahima-Konate
69,Liverpool,Alisson,GK,https://fbref.com/en/players/7a2e46a8/Alisson
70,Liverpool,Cody Gakpo,FW,https://fbref.com/en/players/1971591f/Cody-Gakpo
71,Liverpool,Curtis Jones,MF,https://fbref.com/en/players/4fb9c88f/Curtis-Jones
72,Liverpool,Caoimhín Kelleher,GK,https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher
73,Liverpool,Darwin Núñez,FW,https://fbref.com/en/players/4d77b365/Darwin-Nunez
74,Liverpool,Diogo Jota,FW,https://fbref.com/en/players/178ae8f8/Diogo-Jota
75,Liverpool,Joe Gomez,DF,https://fbref.com/en/players/7a11550b/Joe-Gomez
76,Liverpool,Kostas Tsimikas,DF,https://fbref.com/en/players/f315ca93/Kostas-Tsimikas
77,Liverpool,Jarell Quansah,DF,https://fbref.com/en/players/4125cb98/Jarell-Quansah
78,Liverpool,Conor Bradley,DF,https://fbref.com/en/players/bbd67769/Conor-Bradley
79,Liverpool,Wataru Endo,MF,https://fbref.com/en/players/c149016b/Wataru-Endo
80,Liverpool,Harvey Elliott,MF,https://fbref.com/en/players/b9e1436c/Harvey-Elliott
81,Liverpool,Federico Chiesa,FW,https://fbref.com/en/players/b0f7e36c/Federico-Chiesa
82,Liverpool,Vitezslav Jaros,GK,https://fbref.com/en/players/12bb4d6a/Vitezslav-Jaros
83,Liverpool,Jayden Danns,MF,https://fbref.com/en/players/003cf4d1/Jayden-Danns
84,Liverpool,Harvey Davies,GK,https://fbref.com/en/players/fd08a24b/Harvey-Davies
85,Liverpool,James McConnell,MF,https://fbref.com/en/players/bf973eeb/James-McConnell
86,Liverpool,Tyler Morton,MF,https://fbref.com/en/players/2bc28bb9/Tyler-Morton
87,Liverpool,Amara Nallo,DF,https://fbref.com/en/players/398a24f6/Amara-Nallo
88,Liverpool,Trey Nyoni,MF,https://fbref.com/en/players/1d3b3d77/Trey-Nyoni
89,Liverpool,Alisson,GK,https://fbref.com/en/players/7a2e46a8/Alisson
90,Napoli,Giovanni Di Lorenzo,DF,https://fbref.com/en/players/230a2fac/Giovanni-Di-Lorenzo
91,Napoli,Amir Rrahmani,DF,https://fbref.com/en/players/4b3e1a38/Amir-Rrahmani
92,Napoli,Andre-Frank Zambo Anguissa,MF,https://fbref.com/en/players/6bb2c084/Andre-Frank-Zambo-Anguissa
93,Napoli,Alex Meret,GK,https://fbref.com/en/players/9413b19f/Alex-Meret
94,Napoli,Matteo Politano,FW,https://fbref.com/en/players/5e861944/Matteo-Politano
95,Napoli,Romelu Lukaku,FW,https://fbref.com/en/players/5eae500a/Romelu-Lukaku
96,Napoli,Scott McTominay,MF,https://fbref.com/en/players/d93c2511/Scott-McTominay
97,Napoli,Stanislav Lobotka,MF,https://fbref.com/en/players/e1cbb531/Stanislav-Lobotka
98,Napoli,Mathías Olivera,DF,https://fbref.com/en/players/41c12f75/Mathias-Olivera
99,Napoli,Alessandro Buongiorno,DF,https://fbref.com/en/players/4ae67f27/Alessandro-Buongiorno
100,Napoli,Khvicha Kvaratskhelia,FW,https://fbref.com/en/players/dea88efd/Khvicha-Kvaratskhelia
101,Napoli,David Neres,FW,https://fbref.com/en/players/4f1e6a0b/David-Neres
102,Napoli,Juan Jesus,DF,https://fbref.com/en/players/79083382/Juan-Jesus
103,Napoli,Leonardo Spinazzola,DF,https://fbref.com/en/players/3626daea/Leonardo-Spinazzola
104,Napoli,Billy Gilmour,MF,https://fbref.com/en/players/df10e27c/Billy-Gilmour
105,Napoli,Pasquale Mazzocchi,DF,https://fbref.com/en/players/eb0ec070/Pasquale-Mazzocchi
106,Napoli,Elia Caprile,GK,https://fbref.com/en/players/97d7afbd/Elia-Caprile
107,Napoli,Giacomo Raspadori,FW,https://fbref.com/en/players/6e058f06/Giacomo-Raspadori
108,Napoli,Giovanni Simeone,FW,https://fbref.com/en/players/343c0d52/Giovanni-Simeone
109,Napoli,Cyril Ngonge,FW,https://fbref.com/en/players/2b8360f1/Cyril-Ngonge
110,Napoli,Michael Folorunsho,FW,https://fbref.com/en/players/c391a179/Michael-Folorunsho
111,Napoli,Walid Cheddira,FW,https://fbref.com/en/players/0545a08e/Walid-Cheddira
112,Napoli,Alessio Zerbin,FW,https://fbref.com/en/players/d19ef4ef/Alessio-Zerbin
113,Napoli,Philip Billing,MF,https://fbref.com/en/players/d328a254/Philip-Billing
114,Napoli,Nikita Contini Baranovsky,GK,https://fbref.com/en/players/e95069bb/Nikita-Contini-Baranovsky
115,Napoli,Gianluca Gaetano,FW,https://fbref.com/en/players/3b387cc7/Gianluca-Gaetano
116,Napoli,Francesco Gioielli,MF,https://fbref.com/en/players/6ced606e/Francesco-Gioielli
117,Napoli,Luis Hasa,MF,https://fbref.com/en/players/ab4f1aa9/Luis-Hasa
118,Napoli,Gennaro Iaccarino,MF,https://fbref.com/en/players/5b079870/Gennaro-Iaccarino
119,Napoli,Rafa Marín,DF,https://fbref.com/en/players/3239a8ed/Rafa-Marin
120,Inter,Yann Sommer,GK,https://fbref.com/en/players/420c18a1/Yann-Sommer
121,Inter,Marcus Thuram,FW,https://fbref.com/en/players/6f8cd6d0/Marcus-Thuram
122,Inter,Lautaro Martínez,FW,https://fbref.com/en/players/f7036e1c/Lautaro-Martinez
123,Inter,Alessandro Bastoni,DF,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni
124,Inter,Henrikh Mkhitaryan,MF,https://fbref.com/en/players/dd0daf32/Henrikh-Mkhitaryan
125,Inter,Federico Dimarco,DF,https://fbref.com/en/players/970b8574/Federico-Dimarco
126,Inter,Nicolò Barella,MF,https://fbref.com/en/players/6928979a/Nicolo-Barella
127,Inter,Denzel Dumfries,DF,https://fbref.com/en/players/481c9ece/Denzel-Dumfries
128,Inter,Hakan Çalhanoğlu,MF,https://fbref.com/en/players/cd0fa27b/Hakan-Calhanoglu
129,Inter,Stefan de Vrij,DF,https://fbref.com/en/players/d0d8dd44/Stefan-de-Vrij
130,Inter,Matteo Darmian,DF,https://fbref.com/en/players/96e0490d/Matteo-Darmian
131,Inter,Benjamin Pavard,DF,https://fbref.com/en/players/45a03961/Benjamin-Pavard
132,Inter,Yann Aurel Bisseck,DF,https://fbref.com/en/players/3963c25b/Yann-Aurel-Bisseck
133,Inter,Francesco Acerbi,DF,https://fbref.com/en/players/b96b595c/Francesco-Acerbi
134,Inter,Carlos Augusto,DF,https://fbref.com/en/players/8d3cd59d/Carlos-Augusto
135,Inter,Piotr Zieliński,MF,https://fbref.com/en/players/a5296e55/Piotr-Zielinski
136,Inter,Davide Frattesi,MF,https://fbref.com/en/players/2a7d27c1/Davide-Frattesi
137,Inter,Kristjan Asllani,MF,https://fbref.com/en/players/0fdcef0e/Kristjan-Asllani
138,Inter,Mehdi Taremi,FW,https://fbref.com/en/players/4c2a5d34/Mehdi-Taremi
139,Inter,Joaquín Correa,FW,https://fbref.com/en/players/45b9b619/Joaquin-Correa
140,Inter,Marko Arnautović,FW,https://fbref.com/en/players/00459419/Marko-Arnautovic
141,Inter,Tajon Buchanan,DF,https://fbref.com/en/players/3aca6420/Tajon-Buchanan
