,Player,Nation,Pos,Squad,Comp,Age,Born,MP,MP,MP,MP,Starts,Min,90s,W,D,L,CS,CS%,GA,GA90,SoTA,Saves,Save%,PSxG,PSxG+/-,PSxG/SoT,PKA,PKsv,PKm,Cmp%,Att (GK),Thr,Launch%,AvgLen,Stp,Stp%,AvgDist
32,Adrián,es ESP,GK,Betis,es La Liga,38-029,1987.0,2,2,2,2,2,180,2.0,1.0,0.0,1.0,1.0,50.0,3.0,1.5,8.0,5.0,75.0,2.4,-0.6,0.2,1.0,0.0,0.0,43.5,60.0,7.0,35.0,33.1,3.0,8.3,11.9
41,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-037,2000.0,14,14,14,14,14,1206,13.4,9.0,4.0,1.0,5.0,35.7,9.0,0.67,34.0,24.0,76.5,10.5,1.5,0.27,1.0,1.0,0.0,32.0,341.0,51.0,37.5,33.9,20.0,14.0,14.2
78,Alisson,br BRA,GK,Liverpool,eng Premier League,32-122,1992.0,14,14,14,14,14,1248,13.9,10.0,3.0,1.0,5.0,35.7,12.0,0.87,42.0,30.0,71.4,12.1,0.1,0.29,0.0,0.0,0.0,35.9,386.0,53.0,18.9,25.0,4.0,3.4,15.8
131,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31-340,1993.0,12,12,12,12,11,1000,11.1,2.0,3.0,6.0,2.0,18.2,24.0,2.16,58.0,36.0,58.6,16.9,-5.1,0.29,0.0,0.0,0.0,43.8,344.0,48.0,32.0,30.8,9.0,5.5,14.1
144,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,30-121,1994.0,16,16,16,16,16,1440,16.0,9.0,3.0,4.0,5.0,31.3,19.0,1.19,76.0,57.0,76.3,21.9,2.9,0.28,1.0,0.0,0.0,40.6,391.0,59.0,34.8,33.7,11.0,5.3,15.1
156,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22-252,2002.0,16,16,16,16,16,1440,16.0,7.0,3.0,6.0,4.0,25.0,29.0,1.81,81.0,51.0,64.2,26.6,-2.4,0.33,0.0,1.0,0.0,37.3,671.0,81.0,30.1,32.1,18.0,7.8,12.7
157,Emil Audero,it ITA,GK,Como,it Serie A,28-014,1997.0,8,8,8,8,8,720,8.0,2.0,2.0,4.0,0.0,0.0,18.0,2.25,34.0,16.0,58.8,12.4,-5.6,0.27,4.0,0.0,0.0,30.9,232.0,30.0,22.0,28.6,5.0,5.3,12.9
161,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,26-024,1999.0,1,1,1,1,1,90,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,4.0,2.0,50.0,2.2,0.2,0.55,0.0,0.0,0.0,27.3,26.0,5.0,38.5,32.3,5.0,33.3,12.4
233,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,28-277,1996.0,17,17,17,17,17,1530,17.0,6.0,7.0,4.0,4.0,23.5,18.0,1.06,71.0,53.0,76.1,17.4,0.4,0.23,1.0,1.0,0.0,30.2,476.0,58.0,45.4,39.6,18.0,7.1,12.1
236,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,34-244,1990.0,18,18,18,18,18,1620,18.0,4.0,5.0,9.0,2.0,11.1,35.0,1.94,91.0,55.0,63.7,37.6,3.6,0.39,2.0,2.0,0.0,35.2,617.0,90.0,34.4,33.8,9.0,3.4,14.8
284,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,26-240,1998.0,3,3,3,3,3,270,3.0,1.0,0.0,2.0,0.0,0.0,8.0,2.67,16.0,8.0,56.3,6.3,-1.7,0.36,1.0,0.0,0.0,42.9,66.0,14.0,42.4,36.5,8.0,18.6,12.8
299,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,33-328,1991.0,18,18,18,18,18,1620,18.0,8.0,1.0,9.0,4.0,22.2,30.0,1.67,75.0,45.0,66.7,26.0,-3.0,0.28,5.0,1.0,1.0,40.6,489.0,65.0,48.1,38.3,17.0,6.8,13.6
370,Jean Butez,fr FRA,GK,Como,it Serie A,29-238,1995.0,4,4,4,4,4,360,4.0,1.0,1.0,2.0,0.0,0.0,6.0,1.5,15.0,9.0,60.0,4.6,-1.4,0.32,0.0,0.0,0.0,46.0,159.0,26.0,28.9,31.4,5.0,11.6,13.9
371,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,25-120,1999.0,19,19,19,19,19,1710,19.0,9.0,6.0,4.0,4.0,21.1,25.0,1.32,99.0,75.0,76.8,26.6,2.6,0.26,2.0,0.0,0.0,37.8,564.0,98.0,23.6,28.7,21.0,7.5,11.2
409,Elia Caprile,it ITA,GK,Cagliari,it Serie A,23-160,2001.0,3,3,3,3,3,270,3.0,1.0,1.0,1.0,0.0,0.0,4.0,1.33,19.0,15.0,78.9,5.1,1.1,0.28,0.0,0.0,0.0,39.3,86.0,18.0,44.2,37.3,3.0,6.4,15.0
410,Elia Caprile,it ITA,GK,Napoli,it Serie A,23-160,2001.0,4,4,4,4,3,325,3.6,3.0,0.0,0.0,3.0,100.0,1.0,0.28,8.0,7.0,87.5,2.2,1.2,0.27,0.0,0.0,0.0,44.0,82.0,9.0,25.6,31.7,3.0,9.7,13.7
418,Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,27-310,1997.0,5,5,5,5,5,450,5.0,2.0,1.0,2.0,1.0,20.0,6.0,1.2,19.0,13.0,68.4,5.6,-0.4,0.31,0.0,0.0,0.0,27.4,100.0,15.0,57.0,44.8,1.0,1.4,10.5
423,Patrik Carlgren,se SWE,GK,Nantes,fr Ligue 1,33-024,1992.0,3,3,3,3,3,270,3.0,1.0,1.0,1.0,1.0,33.3,5.0,1.67,21.0,16.0,76.2,6.1,1.1,0.29,0.0,0.0,0.0,37.8,69.0,21.0,27.5,30.5,1.0,1.9,12.8
426,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,24-215,2000.0,21,21,21,21,21,1890,21.0,13.0,4.0,4.0,6.0,28.6,25.0,1.19,84.0,61.0,71.4,24.0,1.0,0.3,1.0,0.0,0.0,28.3,555.0,91.0,29.5,33.0,15.0,8.7,14.7
