,nom_championnat,nom_club,nom_joueur,valeur_marchande,url_joueur
0,Premier League,Manchester City,Ederson,"30,00 mio. €",https://www.transfermarkt.fr/ederson/profil/spieler/238223
1,Premier League,Manchester City,Stefan Ortega,"30,00 mio. €",https://www.transfermarkt.fr/stefan-ortega/profil/spieler/85941
2,Premier League,Manchester City,Scott Carson,"30,00 mio. €",https://www.transfermarkt.fr/scott-carson/profil/spieler/14555
3,Premier League,Manchester City,Rúben Dias,"30,00 mio. €",https://www.transfermarkt.fr/ruben-dias/profil/spieler/258004
4,Premier League,Manchester City,Manuel Akanji,"30,00 mio. €",https://www.transfermarkt.fr/manuel-akanji/profil/spieler/284730
5,Premier League,Manchester City,Nathan Aké,"30,00 mio. €",https://www.transfermarkt.fr/nathan-ake/profil/spieler/177476
6,Premier League,Manchester City,John Stones,"30,00 mio. €",https://www.transfermarkt.fr/john-stones/profil/spieler/186590
7,Premier League,Manchester City,Vitor Reis,"30,00 mio. €",https://www.transfermarkt.fr/vitor-reis/profil/spieler/1005575
8,Premier League,Manchester City,Abdukodir Khusanov,"30,00 mio. €",https://www.transfermarkt.fr/abdukodir-khusanov/profil/spieler/763079
9,Premier League,Manchester City,Jahmai Simpson-Pusey,"30,00 mio. €",https://www.transfermarkt.fr/jahmai-simpson-pusey/profil/spieler/942497
10,Premier League,Manchester City,Josko Gvardiol,"30,00 mio. €",https://www.transfermarkt.fr/josko-gvardiol/profil/spieler/475959
11,Premier League,Manchester City,Christian McFarlane,"30,00 mio. €",https://www.transfermarkt.fr/christian-mcfarlane/profil/spieler/936001
12,Premier League,Manchester City,Rico Lewis,"30,00 mio. €",https://www.transfermarkt.fr/rico-lewis/profil/spieler/701057
13,Premier League,Manchester City,Rodri,"30,00 mio. €",https://www.transfermarkt.fr/rodri/profil/spieler/357565
14,Premier League,Manchester City,Matheus Nunes,"30,00 mio. €",https://www.transfermarkt.fr/matheus-nunes/profil/spieler/601883
15,Premier League,Manchester City,Mateo Kovacic,"30,00 mio. €",https://www.transfermarkt.fr/mateo-kovacic/profil/spieler/51471
16,Premier League,Manchester City,Nico González,"30,00 mio. €",https://www.transfermarkt.fr/nico-gonzalez/profil/spieler/466805
17,Premier League,Manchester City,İlkay Gündoğan,"30,00 mio. €",https://www.transfermarkt.fr/ilkay-gundogan/profil/spieler/53622
18,Premier League,Manchester City,Bernardo Silva,"30,00 mio. €",https://www.transfermarkt.fr/bernardo-silva/profil/spieler/241641
19,Premier League,Manchester City,Kevin De Bruyne,"30,00 mio. €",https://www.transfermarkt.fr/kevin-de-bruyne/profil/spieler/88755
20,Premier League,Manchester City,Claudio Echeverri,"30,00 mio. €",https://www.transfermarkt.fr/claudio-echeverri/profil/spieler/994536
21,Premier League,Manchester City,James McAtee,"30,00 mio. €",https://www.transfermarkt.fr/james-mcatee/profil/spieler/583199
22,Premier League,Manchester City,Jérémy Doku,"30,00 mio. €",https://www.transfermarkt.fr/jeremy-doku/profil/spieler/486049
23,Premier League,Manchester City,Jack Grealish,"30,00 mio. €",https://www.transfermarkt.fr/jack-grealish/profil/spieler/203460
24,Premier League,Manchester City,Phil Foden,"30,00 mio. €",https://www.transfermarkt.fr/phil-foden/profil/spieler/406635
25,Premier League,Manchester City,Savinho,"30,00 mio. €",https://www.transfermarkt.fr/savinho/profil/spieler/743591
26,Premier League,Manchester City,Oscar Bobb,"30,00 mio. €",https://www.transfermarkt.fr/oscar-bobb/profil/spieler/661207
27,Premier League,Manchester City,Erling Haaland,"30,00 mio. €",https://www.transfermarkt.fr/erling-haaland/profil/spieler/418560
28,Premier League,Manchester City,Omar Marmoush,"30,00 mio. €",https://www.transfermarkt.fr/omar-marmoush/profil/spieler/445939
29,Premier League,Arsenal FC,David Raya,"40,00 mio. €",https://www.transfermarkt.fr/david-raya/profil/spieler/262749
30,Premier League,Arsenal FC,Neto,"40,00 mio. €",https://www.transfermarkt.fr/neto/profil/spieler/111819
31,Premier League,Arsenal FC,William Saliba,"40,00 mio. €",https://www.transfermarkt.fr/william-saliba/profil/spieler/495666
32,Premier League,Arsenal FC,Gabriel Magalhães,"40,00 mio. €",https://www.transfermarkt.fr/gabriel-magalhaes/profil/spieler/435338
33,Premier League,Arsenal FC,Jakub Kiwior,"40,00 mio. €",https://www.transfermarkt.fr/jakub-kiwior/profil/spieler/425918
34,Premier League,Arsenal FC,Riccardo Calafiori,"40,00 mio. €",https://www.transfermarkt.fr/riccardo-calafiori/profil/spieler/502821
35,Premier League,Arsenal FC,Oleksandr Zinchenko,"40,00 mio. €",https://www.transfermarkt.fr/oleksandr-zinchenko/profil/spieler/203853
36,Premier League,Arsenal FC,Kieran Tierney,"40,00 mio. €",https://www.transfermarkt.fr/kieran-tierney/profil/spieler/300716
37,Premier League,Arsenal FC,Myles Lewis-Skelly,"40,00 mio. €",https://www.transfermarkt.fr/myles-lewis-skelly/profil/spieler/890721
38,Premier League,Arsenal FC,Ben White,"40,00 mio. €",https://www.transfermarkt.fr/ben-white/profil/spieler/335721
39,Premier League,Arsenal FC,Jurrien Timber,"40,00 mio. €",https://www.transfermarkt.fr/jurrien-timber/profil/spieler/420243
40,Premier League,Arsenal FC,Takehiro Tomiyasu,"40,00 mio. €",https://www.transfermarkt.fr/takehiro-tomiyasu/profil/spieler/331560
41,Premier League,Arsenal FC,Thomas Partey,"40,00 mio. €",https://www.transfermarkt.fr/thomas-partey/profil/spieler/230784
42,Premier League,Arsenal FC,Jorginho,"40,00 mio. €",https://www.transfermarkt.fr/jorginho/profil/spieler/102017
43,Premier League,Arsenal FC,Declan Rice,"40,00 mio. €",https://www.transfermarkt.fr/declan-rice/profil/spieler/357662
44,Premier League,Arsenal FC,Mikel Merino,"40,00 mio. €",https://www.transfermarkt.fr/mikel-merino/profil/spieler/338424
45,Premier League,Arsenal FC,Martin Ødegaard,"40,00 mio. €",https://www.transfermarkt.fr/martin-odegaard/profil/spieler/316264
46,Premier League,Arsenal FC,Ethan Nwaneri,"40,00 mio. €",https://www.transfermarkt.fr/ethan-nwaneri/profil/spieler/890719
47,Premier League,Arsenal FC,Gabriel Martinelli,"40,00 mio. €",https://www.transfermarkt.fr/gabriel-martinelli/profil/spieler/655488
48,Premier League,Arsenal FC,Leandro Trossard,"40,00 mio. €",https://www.transfermarkt.fr/leandro-trossard/profil/spieler/144028
49,Premier League,Arsenal FC,Bukayo Saka,"40,00 mio. €",https://www.transfermarkt.fr/bukayo-saka/profil/spieler/433177
50,Premier League,Arsenal FC,Raheem Sterling,"40,00 mio. €",https://www.transfermarkt.fr/raheem-sterling/profil/spieler/134425
51,Premier League,Arsenal FC,Kai Havertz,"40,00 mio. €",https://www.transfermarkt.fr/kai-havertz/profil/spieler/309400
52,Premier League,Arsenal FC,Gabriel Jesus,"40,00 mio. €",https://www.transfermarkt.fr/gabriel-jesus/profil/spieler/363205
53,Premier League,FC Liverpool,Alisson,"25,00 mio. €",https://www.transfermarkt.fr/alisson/profil/spieler/105470
54,Premier League,FC Liverpool,Caoimhín Kelleher,"25,00 mio. €",https://www.transfermarkt.fr/caoimhin-kelleher/profil/spieler/340918
55,Premier League,FC Liverpool,Vitezslav Jaros,"25,00 mio. €",https://www.transfermarkt.fr/vitezslav-jaros/profil/spieler/486604
56,Premier League,FC Liverpool,Harvey Davies,"25,00 mio. €",https://www.transfermarkt.fr/harvey-davies/profil/spieler/706815
57,Premier League,FC Liverpool,Ibrahima Konaté,"25,00 mio. €",https://www.transfermarkt.fr/ibrahima-konate/profil/spieler/357119
58,Premier League,FC Liverpool,Joe Gomez,"25,00 mio. €",https://www.transfermarkt.fr/joe-gomez/profil/spieler/256178
59,Premier League,FC Liverpool,Virgil van Dijk,"25,00 mio. €",https://www.transfermarkt.fr/virgil-van-dijk/profil/spieler/139208
