,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,PK,PKatt,G-PK,xG,npxG,Ast,G+A,xAG,npxG+xAG,G+A-PK,xG+xAG,Sh_stats_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_stats_shooting,PK_stats_shooting,PKatt_stats_shooting,CK_stats_passing_types,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Tkl%,Lost,Blocks,Sh,Pass,Clr,Err,Cmp_stats_passing,Att_stats_passing,Cmp%_stats_passing,TotDist,PrgDist,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,Crs_stats_passing_types,Live,Dead,TB,Sw,Off_stats_passing_types,Blocks_stats_passing_types,Touches,Live_stats_possession,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Unnamed: 0_y,nom_championnat,nom_club,nom_joueur,valeur_marchande,url_joueur
0,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-028,2000.0,3,1,86,1.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,0,0,0,0,2,2.09,2,0,0,0,0,0,0,0.0,2,2,1,1,0,1,3,100.0,0,3,1,2,0,0,50,63,79.4,887,361,0.0,0.0,0.0,0,8,0,0,2,51,12,0,0,0,1,73,73,2,19,40,15,0,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,671,LaLiga,FC Valencia,Max Aarons,40.0,https://www.transfermarkt.fr/max-aarons/profil/spieler/471690
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-126,1987.0,11,11,936,10.4,0,0,0,0,0.2,0.2,0,0,0.0,0.3,0.0,0.03,2,1,50.0,0.19,0.1,0.0,0.0,10.8,0,0,0,0,5,0.48,4,1,0,0,0,0,0,0.0,17,11,15,2,0,12,29,62.5,6,22,15,7,54,1,421,484,87.0,7651,2333,0.0,0.0,0.0,1,27,0,0,0,442,40,0,0,2,1,611,611,122,391,209,13,6,6,3,50.0,3,50.0,311,1692,833,4,1,0,8,3,382,3,2529,Ligue 1,AS Saint-Étienne,Yunis Abdelhamid,3.5,https://www.transfermarkt.fr/yunis-abdelhamid/profil/spieler/199704
3,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25-076,1999.0,19,19,1682,18.7,4,2,3,2,4.2,1.8,1,5,2.6,4.5,0.16,0.37,20,5,25.0,1.07,0.27,0.1,0.4,24.6,0,2,3,8,61,3.26,52,2,2,1,2,2,2,0.11,29,20,7,11,11,16,45,34.5,19,11,0,11,15,1,865,1062,81.5,13099,3606,2.6,2.4,-1.6,27,99,24,0,33,984,72,15,7,6,21,1257,1254,16,165,712,402,38,80,37,46.3,41,51.3,734,4664,2646,73,53,16,31,27,927,79,2566,Ligue 1,Angers SCO,Himad Abdelli,4.5,https://www.transfermarkt.fr/himad-abdelli/profil/spieler/592979
4,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-043,1993.0,11,8,741,8.2,2,0,0,2,1.2,1.2,2,4,1.4,2.5,0.49,0.31,16,5,31.3,1.94,0.61,0.13,0.4,19.8,0,0,0,0,25,3.04,16,3,3,2,0,1,2,0.24,22,14,9,7,6,6,28,72.0,7,13,3,10,24,0,251,344,73.0,3904,1423,1.4,1.1,0.6,12,8,11,2,21,276,64,0,2,4,9,448,448,31,129,167,155,27,15,7,46.7,8,53.3,180,894,514,21,9,8,14,9,235,51,2219,Ligue 1,OGC Nice,Ali Abdi,20.0,https://www.transfermarkt.fr/ali-abdi/profil/spieler/211474
5,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-198,1999.0,3,1,142,1.6,0,0,0,0,0.0,0.0,1,1,0.1,0.1,0.63,0.09,1,0,0.0,0.63,0.0,0.0,,24.7,0,0,0,0,3,1.91,3,0,0,0,0,0,1,0.64,2,1,1,0,1,1,3,100.0,0,1,0,1,0,0,77,86,89.5,1142,226,0.1,0.2,0.9,1,3,2,1,4,68,18,0,0,0,1,97,97,0,18,45,35,3,5,2,40.0,1,20.0,62,274,119,4,0,1,2,1,72,18,1172,Serie A,AS Roma,Saud Abdulhamid,14.0,https://www.transfermarkt.fr/saud-abdulhamid/profil/spieler/631927
6,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21-310,2003.0,19,18,1495,16.6,5,1,1,4,5.1,4.3,0,5,1.8,6.0,0.24,0.41,47,17,36.2,2.83,1.02,0.09,0.24,14.2,0,1,1,0,35,2.11,26,0,4,3,2,0,3,0.18,6,3,2,2,2,2,8,16.7,5,6,0,6,25,1,210,294,71.4,3139,515,1.8,2.1,-1.8,13,13,10,1,17,274,19,1,3,1,16,494,493,22,47,208,251,87,51,20,39.2,29,56.9,325,1927,833,37,21,23,55,32,377,99,2415,Ligue 1,FC Nantes,Matthis Abline,7.0,https://www.transfermarkt.fr/matthis-abline/profil/spieler/659543
7,Abner,br BRA,DF,Lyon,fr Ligue 1,24-250,2000.0,12,9,789,8.8,1,0,0,1,0.2,0.2,0,1,0.4,0.6,0.11,0.06,6,3,50.0,0.68,0.34,0.17,0.33,19.9,0,0,0,6,15,1.71,12,3,0,0,0,0,0,0.0,19,13,8,8,3,5,24,63.6,8,12,1,11,31,0,394,475,82.9,5828,2464,0.4,1.5,-0.4,7,31,7,1,24,400,73,1,1,2,14,562,562,29,128,267,169,18,8,4,50.0,4,50.0,281,1258,791,19,9,4,12,6,355,45,2243,Ligue 1,Olympique Lyonnais,Abner,8.0,https://www.transfermarkt.fr/abner/profil/spieler/646402
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24-349,2000.0,19,18,1510,16.8,6,1,2,5,9.3,7.7,2,8,1.4,9.1,0.42,0.64,50,21,42.0,2.98,1.25,0.1,0.24,14.1,0,1,2,3,28,1.67,17,0,4,4,2,1,5,0.3,15,8,6,5,4,6,21,22.2,14,13,1,12,7,0,181,288,62.8,2260,648,1.4,1.8,0.6,9,11,9,3,28,273,13,0,0,2,11,498,496,5,47,159,297,91,35,10,28.6,25,71.4,299,1553,711,27,19,16,51,21,367,132,2437,Ligue 1,Toulouse FC,Zakaria Aboukhlal,18.0,https://www.transfermarkt.fr/zakaria-aboukhlal/profil/spieler/393238
9,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25-328,1999.0,20,20,1668,18.5,0,0,0,0,0.5,0.5,1,1,0.2,0.7,0.05,0.04,6,1,16.7,0.32,0.05,0.0,0.0,7.0,0,0,0,0,18,0.97,13,0,0,2,1,2,3,0.16,27,17,16,10,1,33,60,60.9,9,18,12,6,98,1,482,649,74.3,10833,4071,0.2,0.3,0.8,5,48,8,1,4,611,35,1,13,3,4,858,858,123,460,364,40,12,2,1,50.0,1,50.0,418,2555,1408,11,6,0,12,2,435,3,883,LaLiga,Deportivo Alavés,Abdel Abqar,6.0,https://www.transfermarkt.fr/abdel-abqar/profil/spieler/559979
11,Tammy Abraham,eng ENG,FW,Milan,it Serie A,27-122,1997.0,16,7,751,8.3,2,1,2,1,6.1,4.4,2,4,1.2,5.6,0.36,0.87,19,9,47.4,2.28,1.08,0.05,0.11,12.9,0,1,2,0,19,2.28,14,0,0,4,1,0,4,0.48,11,7,0,7,4,2,13,66.7,2,8,0,8,6,0,92,130,70.8,1246,308,1.2,0.9,0.8,8,7,4,0,2,117,13,2,0,0,4,216,214,9,23,102,91,45,8,2,25.0,6,75.0,89,317,125,5,4,3,14,6,139,41,1108,Serie A,AC Milan,Tammy Abraham,35.0,https://www.transfermarkt.fr/tammy-abraham/profil/spieler/331726
12,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36-357,1988.0,9,9,670,7.4,0,0,0,0,0.3,0.3,1,1,0.2,0.5,0.13,0.06,3,1,33.3,0.4,0.13,0.0,0.0,11.7,0,0,0,0,7,0.94,7,0,0,0,0,0,1,0.13,6,4,5,1,0,15,21,66.7,1,6,6,0,28,0,555,586,94.7,10328,2924,0.2,0.4,0.8,3,29,3,2,3,569,16,0,0,1,0,654,654,50,242,374,39,8,1,1,100.0,0,0.0,430,1929,952,5,8,0,1,1,515,5,1039,Serie A,Inter Milan,Francesco Acerbi,12.0,https://www.transfermarkt.fr/francesco-acerbi/profil/spieler/131075
